No,AD_CLIENT_ID,DEPT_CODE,APPLIED_CHARGES_CLASS,PURPOSE_OF_USE_MR,CONTRACT_ORG_CODE,CONTRACT_ORG_KBN,CONTRACT_TYPE,D_ID_RENTAL_KBN,RENTAL_TERM_KBN,YEAR,MONTH,DAY,PREVIOUS_MONTH_ADJ,COUNT,SALES_AMT,RENTAL_TIME
206,1000002,3M2B1,P7,1,3F000,2,6,7,Z,2021,10,1,0,2,15900,68
207,1000002,3M2B1,P7,3,DBB00,5,1,7,Z,2021,10,1,0,1,9200,47
208,1000002,3M2C3,C2,1,3F000,3,8,7,1,2021,10,1,0,1,6300,10
209,1000002,3M2C3,C2,3,3M2C3,4,3,7,1,2021,10,1,0,1,6000,3
210,1000002,3M2C3,P0,5,3M2C3,4,3,4,1,2021,10,1,0,1,63000,411
211,1000002,3M2C3,P0,5,3M2C3,4,3,4,2,2021,10,1,0,1,52500,535
212,1000002,3M2C3,P1,1,3F000,2,6,7,1,2021,10,1,0,1,3250,6
213,1000002,3M2C3,P2,3,3P2N1,5,1,7,1,2021,10,1,0,1,21500,120
214,1000002,3M2C3,P2,5,3M2C3,4,3,4,2,2021,10,1,0,1,108000,647
215,1000002,3M2C3,V1,3,3TA00,1,1,1,2,2021,10,1,9,1,89200,427
216,1000002,3M2C3,V1,3,3TA00,1,1,1,3,2021,10,1,9,-1,-99670,-427
217,1000002,3M2C3,W4,5,3M2C3,4,3,4,1,2021,10,1,0,1,136000,369
218,1000002,3M2F3,P0,1,3F000,2,4,7,1,2021,10,1,0,1,15300,55
219,1000002,3M2F3,P0,1,3F000,3,8,7,1,2021,10,1,0,1,7500,9
220,1000002,3M2F3,P7,1,3F000,2,6,7,Z,2021,10,1,0,2,13250,40
221,1000002,3M2F3,PH2,3,3K5H1,5,2,7,Z,2021,10,1,0,1,7500,6
222,1000002,3M2G1,P0,3,3F000,2,6,7,1,2021,10,1,0,1,5550,8
223,1000002,3M2G1,P2,1,3F000,2,6,7,1,2021,10,1,0,3,40178,226
224,1000002,3M2G1,P2,1,3F000,3,7,7,1,2021,10,1,0,1,24525,53
225,1000002,3M2G1,P2,3,3F000,2,6,7,1,2021,10,1,0,1,9819,32
226,1000002,3M2G1,P2,3,3TA00,1,1,1,1,2021,10,1,0,1,17638,77
227,1000002,3M2G1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,9700,23
228,1000002,3M2G1,RV1,1,3F000,2,6,7,1,2021,10,1,0,1,85500,43
229,1000002,3M2G3,C0,5,3M2G3,4,3,4,3,2021,10,1,0,1,88000,512
230,1000002,3M2G3,C2,3,3M2G3,4,3,7,1,2021,10,1,0,4,27752,24
231,1000002,3M2G3,P1,3,3F000,2,6,7,1,2021,10,1,0,1,21500,101
232,1000002,3M2G3,P1,5,3M2G3,4,3,4,1,2021,10,1,0,1,45500,312
233,1000002,3M2G3,P2,3,3F000,2,6,7,1,2021,10,1,0,1,2850,5
234,1000002,3M2G3,P5,3,3TA00,1,1,7,2,2021,10,1,0,1,90000,720
235,1000002,3M2G3,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,3850,2
